Gender,SeniorCitizen,Partner,Dependents,Phone Service,Multiple Lines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,ChurnLabel,Age,NumDependents,TenureMonths,Offer,SatisfactionScore,CLTV,HasInternet
0,1,0,0,1,1,0,0,0,0,1,0,Month-to-month,1,Electronic check,1,68,0,1,,1,4880,1
0,0,0,0,1,1,1,0,1,1,0,0,Month-to-month,1,Mailed check,1,52,0,12,Offer D,1,5670,1
0,1,1,0,1,1,1,0,1,0,1,1,Month-to-month,0,Bank transfer (automatic),1,78,0,65,Offer B,1,4196,1
1,0,1,0,0,0,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,32,0,9,Offer E,2,2573,0
0,0,1,0,1,0,1,1,1,1,0,0,Month-to-month,0,Mailed check,1,20,0,9,Offer E,1,3983,1
0,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),1,27,0,7,Offer E,3,4479,0
1,1,1,0,1,1,0,1,0,0,0,1,Month-to-month,0,Credit card (automatic),1,75,0,49,Offer B,2,5059,1
1,1,1,0,1,1,0,1,1,1,1,1,Month-to-month,1,Bank transfer (automatic),1,77,0,43,Offer B,2,2728,1
0,0,1,0,1,1,0,1,1,0,1,1,Month-to-month,1,Electronic check,1,20,0,65,,1,5720,1
1,1,1,0,1,1,1,0,1,0,1,1,One year,1,Bank transfer (automatic),1,80,0,56,Offer B,1,6268,1
1,0,1,0,1,1,0,0,0,0,0,1,Month-to-month,1,Electronic check,1,26,0,10,Offer D,3,3573,1
0,0,1,0,1,0,0,0,0,0,1,0,Month-to-month,0,Electronic check,1,57,0,43,,2,2152,1
1,0,0,0,1,0,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,38,0,1,Offer E,2,4996,1
1,1,1,0,1,1,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,75,0,20,,1,5604,1
1,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,1,Mailed check,1,57,0,1,Offer E,3,2295,1
0,1,0,0,1,1,0,1,0,0,0,1,Month-to-month,0,Electronic check,1,69,0,2,,2,2065,1
0,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),1,30,0,3,,1,2876,1
0,0,0,0,1,0,0,0,1,0,0,0,Month-to-month,1,Mailed check,1,23,0,1,Offer E,3,3860,1
0,1,0,0,1,0,0,0,0,0,0,0,Month-to-month,0,Electronic check,1,74,0,8,,2,5432,0
1,0,1,0,1,0,0,0,0,0,0,0,One year,0,Mailed check,1,40,0,2,Offer E,3,2362,0
0,0,0,0,0,0,0,0,0,0,0,0,Month-to-month,1,Mailed check,1,48,0,4,Offer E,2,2038,0
0,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,0,Electronic check,1,52,0,2,Offer E,2,2323,1
0,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,47,0,4,,1,2864,1
0,0,0,0,1,1,0,0,0,0,0,0,Month-to-month,1,Mailed check,1,23,0,1,Offer E,2,4838,1
1,1,0,0,0,0,0,1,0,0,1,1,Month-to-month,1,Electronic check,1,76,0,52,,2,5597,0
0,0,0,0,0,0,0,0,0,0,0,1,Month-to-month,1,Electronic check,1,19,0,2,Offer E,1,3146,0
1,0,1,0,1,0,0,0,0,0,0,1,Month-to-month,0,Electronic check,1,48,0,1,Offer E,1,2046,1
1,1,0,0,1,0,1,0,0,0,0,0,Month-to-month,1,Electronic check,1,69,0,2,,2,3475,1
0,0,0,0,1,1,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),1,63,0,3,Offer E,3,4965,1
1,0,1,0,1,0,0,0,1,0,0,0,Month-to-month,1,Electronic check,1,23,0,3,,1,3273,1
0,0,0,0,1,0,1,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),1,54,0,25,Offer C,2,4535,1
1,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,27,0,1,,2,3556,0
0,0,1,0,1,1,0,0,0,0,0,1,Month-to-month,1,Electronic check,1,48,0,4,,3,5640,1
1,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,26,0,3,,3,2450,1
1,1,1,0,1,1,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,72,0,33,,3,4333,1
0,1,0,0,1,1,1,1,1,0,0,0,Month-to-month,0,Credit card (automatic),1,69,0,30,,1,2482,1
0,0,0,0,1,1,0,0,1,1,0,0,Month-to-month,1,Electronic check,1,29,0,45,,1,5269,1
1,0,0,0,1,1,1,0,0,0,1,1,Month-to-month,0,Electronic check,1,51,0,10,Offer D,1,3658,1
1,1,0,0,1,1,0,0,1,0,1,1,Month-to-month,1,Electronic check,1,73,0,20,,3,5444,1
0,0,0,0,1,0,0,1,0,0,0,1,Month-to-month,1,Bank transfer (automatic),1,37,0,15,,3,3579,1
0,0,0,0,1,0,0,0,0,0,1,1,Month-to-month,0,Electronic check,1,38,0,22,,1,3161,1
1,0,1,0,1,0,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,31,0,3,,1,3038,1
1,0,0,0,1,1,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,49,0,15,,1,5264,1
0,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,45,0,1,,2,4248,0
0,0,1,0,1,0,1,0,1,0,0,1,Month-to-month,1,Mailed check,1,37,0,5,,1,4356,1
1,0,1,0,1,0,0,0,1,0,1,1,One year,1,Electronic check,1,24,0,33,Offer C,2,4161,1
1,0,0,0,1,1,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,42,0,2,,3,3051,1
1,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,0,Electronic check,1,63,0,2,,1,3478,1
0,0,0,0,1,0,0,0,0,1,0,0,Month-to-month,1,Electronic check,1,41,0,1,,1,4138,1
0,1,0,0,1,1,1,1,1,0,1,1,One year,1,Electronic check,1,65,0,46,,1,2403,1
1,0,0,0,1,1,0,0,1,0,1,1,One year,1,Electronic check,1,58,0,62,Offer B,2,5016,1
0,0,0,0,1,1,0,0,0,1,1,1,Month-to-month,1,Electronic check,1,33,0,10,,1,5184,1
1,0,0,0,1,0,0,1,0,0,1,0,Month-to-month,1,Electronic check,1,61,0,6,,3,4694,1
1,0,1,0,1,1,0,1,0,0,1,1,Month-to-month,1,Electronic check,1,54,0,40,Offer B,1,2576,1
1,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,27,0,1,Offer E,2,3042,1
1,0,0,0,1,1,0,1,1,0,1,1,One year,1,Bank transfer (automatic),1,20,0,58,Offer B,1,6105,1
1,0,0,0,1,1,1,0,0,1,1,1,Two year,1,Credit card (automatic),1,25,0,70,Offer A,1,4544,1
0,0,0,0,1,0,0,0,1,0,0,1,Month-to-month,1,Mailed check,1,62,0,2,Offer E,3,2969,1
1,0,1,0,1,1,0,1,1,1,1,1,Month-to-month,1,Electronic check,1,24,0,21,,3,4123,1
0,0,1,0,1,0,0,1,1,0,1,0,Month-to-month,1,Credit card (automatic),1,41,0,16,,3,3696,1
1,1,1,0,1,1,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),1,74,0,7,,3,3265,1
1,0,1,0,1,0,0,1,1,0,1,0,One year,0,Electronic check,1,21,0,60,Offer B,3,4111,1
0,0,1,0,1,1,1,1,0,1,1,1,One year,0,Electronic check,1,58,0,50,Offer B,2,4274,1
0,1,0,0,1,0,0,0,0,0,1,0,Month-to-month,1,Electronic check,1,65,0,4,,3,5301,1
1,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,45,0,1,Offer E,1,3522,1
0,1,0,0,1,1,0,0,1,0,1,1,One year,1,Electronic check,1,66,0,55,,3,5679,1
0,0,1,0,1,0,0,0,0,0,0,0,One year,0,Bank transfer (automatic),1,59,0,12,,3,2653,0
1,0,0,0,1,0,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,21,0,1,Offer E,1,5951,1
0,0,0,0,1,1,0,0,1,0,1,1,One year,1,Electronic check,1,41,0,62,Offer B,3,5600,1
1,0,0,0,1,0,0,1,0,0,0,0,Month-to-month,0,Electronic check,1,58,0,1,Offer E,1,3718,1
1,1,1,0,1,0,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,71,0,20,,1,5849,1
0,0,0,0,1,0,0,1,0,0,1,1,Month-to-month,1,Electronic check,1,55,0,3,Offer E,1,5861,1
1,0,0,0,1,1,0,0,0,0,1,1,Month-to-month,1,Credit card (automatic),1,52,0,22,,2,3665,1
1,0,1,0,1,0,0,0,1,1,0,0,Month-to-month,1,Mailed check,1,46,0,4,Offer E,3,3080,1
1,0,1,0,1,1,0,0,0,0,0,1,One year,0,Electronic check,1,24,0,59,Offer B,3,6304,1
0,0,0,0,0,0,0,1,0,0,1,1,Month-to-month,1,Electronic check,1,58,0,60,Offer B,2,4941,0
0,0,0,0,1,0,1,0,1,1,1,1,Month-to-month,0,Electronic check,1,54,0,15,,1,2122,1
1,0,0,0,1,0,1,1,1,1,1,1,Month-to-month,1,Electronic check,1,53,0,10,,1,5803,1
0,0,0,0,1,0,0,0,1,0,0,1,Month-to-month,0,Electronic check,1,40,0,6,,1,3962,1
0,0,1,0,1,1,1,1,1,0,1,0,Month-to-month,1,Electronic check,1,48,0,63,Offer B,2,5413,1
1,0,1,0,1,1,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),1,55,0,50,Offer B,2,5812,1
0,0,0,0,0,0,0,0,0,0,0,0,Month-to-month,0,Electronic check,1,39,0,1,,2,5768,0
0,0,0,0,1,0,1,0,0,1,1,1,Month-to-month,1,Bank transfer (automatic),1,64,0,12,,1,5559,1
0,0,0,0,1,1,0,0,1,0,1,1,Month-to-month,0,Credit card (automatic),1,27,0,9,,2,2954,1
1,0,0,0,1,0,1,0,0,0,1,1,Month-to-month,0,Electronic check,1,36,0,17,,1,4940,1
1,1,0,0,1,1,0,0,1,0,1,1,Month-to-month,1,Electronic check,1,65,0,9,,1,4038,1
1,1,0,0,1,0,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,69,0,10,,1,3189,1
1,1,1,0,1,1,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,75,0,1,,2,4369,1
0,1,0,0,1,1,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,75,0,3,,1,3501,1
0,0,0,0,1,0,0,1,1,0,0,0,Month-to-month,1,Electronic check,1,37,0,13,,1,4806,1
0,1,0,0,1,1,0,0,0,0,0,1,Month-to-month,1,Electronic check,1,68,0,4,,1,2467,1
