CustomerID,Gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,ChurnLabel,Age,NumDependents,TenureMonths,Offer,City,State,Zip Code,SatisfactionScore,CLTV,Churn Reason
5299-RULOA,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,62,2,10,,Whittier,California,90606,2,5998,Price too high
0404-SWRVG,Male,No,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,21,2,3,Offer E,La Habra,California,90631,1,4415,Product dissatisfaction
4412-YLTKF,Female,Yes,No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,Yes,72,1,27,Offer C,Pico Rivera,California,90660,1,4638,Competitor had better devices
6207-WIOLX,Female,No,Yes,No,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Yes,27,0,25,Offer C,Avalon,California,90704,1,4190,Attitude of support person
3091-FYHKI,Male,No,No,No,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,Yes,64,0,1,Offer E,Harbor City,California,90710,3,2301,Network reliability
2372-HWUHI,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,Yes,45,0,2,Offer E,Lakewood,California,90712,3,2570,Don't know
0390-DCFDQ,Female,Yes,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,Yes,76,2,1,Offer E,Los Alamitos,California,90720,2,3964,Don't know
4080-OGPJL,Female,No,No,No,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,Yes,53,0,8,Offer E,San Pedro,California,90731,1,2662,Don't know
2135-RXIHG,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,63,0,1,Offer E,Carson,California,90745,1,2600,Competitor had better devices
3874-EQOEP,Male,No,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,Yes,32,4,7,Offer E,Long Beach,California,90804,1,2786,Competitor had better devices
0867-MKZVY,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,Yes,26,1,20,,Altadena,California,91001,1,5719,Price too high
3376-BMGFE,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes,42,1,4,Offer E,Monrovia,California,91016,1,4287,Product dissatisfaction
3445-HXXGF,Male,Yes,Yes,No,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,Yes,66,0,58,Offer B,Sierra Madre,California,91024,1,5444,Service dissatisfaction
1875-QIVME,Female,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,26,3,2,Offer E,Tujunga,California,91042,3,4690,Attitude of support person
0691-JVSYA,Female,No,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),Yes,24,0,53,,Pasadena,California,91103,1,4328,Competitor had better devices
2656-FMOKZ,Female,Yes,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,Yes,70,2,15,Offer D,Pasadena,California,91106,2,5717,Limited range of services
2070-FNEXE,Female,Yes,No,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),Yes,77,2,7,Offer E,Pasadena,California,91107,2,4419,Lack of affordable download/upload speed
6317-YPKDH,Female,No,No,No,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),Yes,54,0,1,Offer E,Glendale,California,91202,1,4534,Competitor had better devices
9367-WXLCH,Male,No,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),Yes,51,2,8,Offer E,Glendale,California,91204,2,2152,Extra data charges
1918-ZBFQJ,Female,No,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,Yes,48,3,13,,Glendale,California,91206,1,5142,Competitor had better devices
1024-GUALD,Female,No,Yes,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,29,0,1,Offer E,Glendale,California,91207,1,4851,Product dissatisfaction
2472-OVKUP,Male,No,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,Yes,39,2,6,,Canoga Park,California,91304,2,2283,Service dissatisfaction
1285-OKIPP,Male,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,Yes,62,3,1,,Mission Hills,California,91345,2,3394,Attitude of support person
7825-ECJRF,Female,No,No,Yes,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,43,1,19,,Santa Clarita,California,91350,1,3764,Network reliability
7841-TZDMQ,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),Yes,19,0,2,,Sun Valley,California,91352,3,2667,Don't know
9408-SSNVZ,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,39,2,4,,Stevenson Ranch,California,91381,2,2227,Don't know
0742-MOABM,Male,No,Yes,No,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,Yes,50,0,4,,Fallbrook,California,92028,2,3394,Competitor made better offer
2232-DMLXU,Female,No,Yes,No,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,Yes,22,0,1,,Van Nuys,California,91411,2,3638,Poor expertise of online support
8937-RDTHP,Male,No,No,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,Yes,40,1,1,,Burbank,California,91504,2,2484,Poor expertise of phone support
1251-KRREG,Male,No,No,No,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,Yes,22,0,2,,North Hollywood,California,91601,3,2556,Price too high
0094-OIFMO,Female,Yes,No,Yes,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,78,1,11,Offer D,North Hollywood,California,91605,1,5980,Product dissatisfaction
9947-OTFQU,Male,Yes,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,65,0,15,Offer D,Covina,California,91722,1,4616,Competitor had better devices
0322-YINQP,Male,No,No,No,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,Yes,37,0,1,,Covina,California,91723,1,5687,Attitude of support person
4629-NRXKX,Female,No,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,Yes,47,0,2,,El Monte,California,91731,1,5687,Network reliability
9514-JDSKI,Male,Yes,Yes,No,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,Yes,77,0,1,Offer E,El Monte,California,91732,2,5828,Limited range of services
4959-JOSRX,Female,No,Yes,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),Yes,41,0,2,Offer E,La Puente,California,91744,2,4884,Lack of affordable download/upload speed
7273-TEFQD,Male,Yes,No,No,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,Yes,67,0,3,Offer E,La Puente,California,91746,2,2314,Long distance charges
3606-TWKGI,Male,Yes,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,68,0,13,Offer D,Rowland Heights,California,91748,1,2494,Competitor had better devices
6323-AYBRX,Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,Yes,51,0,59,,Ontario,California,91762,3,5084,Price too high
4385-GZQXV,Female,Yes,No,No,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,68,0,16,Offer D,Ontario,California,91764,1,3810,Competitor had better devices
6366-ZGQGL,Male,No,No,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),Yes,60,0,1,Offer E,Pomona,California,91766,2,5087,Service dissatisfaction
5940-AHUHD,Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,Yes,30,0,1,Offer E,Pomona,California,91768,2,3338,Attitude of support person
6432-TWQLB,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,Yes,51,0,5,Offer E,Rosemead,California,91770,3,3676,Network reliability
4484-GLZOU,Female,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,20,0,52,,San Dimas,California,91773,2,4839,Don't know
9512-UIBFX,Male,No,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,Yes,52,0,18,,West Covina,California,91791,3,4643,Don't know
5583-SXDAG,Male,No,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,Yes,41,0,1,Offer E,Alhambra,California,91803,3,4094,Don't know
3488-PGMQJ,Male,Yes,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,66,0,8,,Alpine,California,91901,2,4345,Poor expertise of online support
3580-REOAC,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),Yes,34,0,10,,San Diego,California,92122,2,4061,Competitor made better offer
7534-BFESC,Male,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,69,0,24,Offer C,San Diego,California,92122,2,2018,Competitor made better offer
6390-DSAZX,Female,No,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,Yes,21,0,1,,San Diego,California,92122,1,2565,Competitor made better offer
8098-LLAZX,Female,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,74,0,4,Offer E,San Diego,California,92122,3,3677,Competitor made better offer
0265-EDXBD,Male,Yes,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,76,0,32,Offer C,San Diego,California,92122,2,4105,Attitude of support person
7563-BIUPC,Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,30,0,5,Offer E,San Diego,California,92122,2,5715,Competitor made better offer
2321-OMBXY,Female,No,Yes,No,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),Yes,55,0,38,Offer C,San Diego,California,92122,1,2071,Don't know
2840-XANRC,Male,Yes,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,77,0,24,Offer C,San Diego,California,92122,2,2212,Competitor made better offer
5020-ZSTTY,Female,Yes,No,No,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),Yes,70,0,54,Offer B,San Diego,California,92122,1,4149,Competitor made better offer
5804-LEPIM,Female,Yes,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,74,0,2,Offer E,San Diego,California,92122,3,2671,Don't know
0122-OAHPZ,Female,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,29,0,7,,San Diego,California,92122,3,2473,Competitor made better offer
2868-SNELZ,Female,No,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,Yes,54,0,2,,San Diego,California,92122,1,2683,Competitor made better offer
4322-RCYMT,Male,No,Yes,No,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),Yes,63,0,68,Offer A,San Diego,California,92122,3,4903,Competitor made better offer
6680-NENYN,Female,No,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,Yes,24,0,43,,San Diego,California,92122,1,5250,Competitor made better offer
1343-EHPYB,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,61,0,63,,San Diego,California,92122,2,4352,Competitor made better offer
2034-GDRCN,Female,No,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,47,0,2,Offer E,San Diego,California,92122,3,4157,Don't know
0219-YTZUE,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes,26,0,4,Offer E,San Diego,California,92122,3,4939,Competitor made better offer
0623-IIHUG,Female,Yes,No,No,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,77,0,21,,San Diego,California,92122,1,4778,Competitor made better offer
4572-DVCGN,Female,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,40,0,10,,San Diego,California,92122,3,3598,Competitor made better offer
9057-MSWCO,Male,Yes,Yes,No,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),Yes,71,0,27,,San Diego,California,92122,1,2927,Competitor made better offer
1010-DIAUQ,Male,No,No,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),Yes,54,0,5,Offer E,San Diego,California,92122,3,5383,Competitor made better offer
0259-GBZSH,Male,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,22,0,2,Offer E,San Diego,California,92122,1,3878,Competitor made better offer
9601-BRXPO,Female,No,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,48,0,25,Offer C,San Diego,California,92122,3,3642,Competitor made better offer
6905-NIQIN,Male,No,No,No,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,Yes,26,0,1,Offer E,San Diego,California,92122,1,2431,Competitor made better offer
5167-ZFFMM,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),Yes,64,0,1,Offer E,San Diego,California,92122,3,3424,Competitor made better offer
4895-TMWIR,Male,Yes,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,Yes,79,0,11,,San Diego,California,92122,1,5888,Competitor made better offer
0533-BNWKF,Female,Yes,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,Yes,66,0,55,Offer B,San Diego,California,92122,1,5502,Competitor made better offer
6599-CEBNN,Female,No,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),Yes,63,0,34,Offer C,San Diego,California,92122,3,5795,Competitor made better offer
0979-PHULV,Male,No,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Yes,30,0,69,Offer A,San Diego,California,92122,3,4020,Competitor made better offer
4800-VHZKI,Female,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,Yes,59,0,1,Offer E,San Diego,California,92122,3,3351,Competitor made better offer
7989-CHGTL,Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,Yes,52,0,1,Offer E,San Diego,California,92122,1,3448,Competitor made better offer
0334-GDDSO,Male,Yes,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,77,0,3,Offer E,San Diego,California,92122,1,2818,Competitor made better offer
0578-SKVMF,Female,No,Yes,No,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,Yes,23,0,22,,Seeley,California,92273,1,3804,Competitor had better devices
5564-NEMQO,Female,Yes,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes,80,0,1,Offer E,Thermal,California,92274,2,4902,Network reliability
9063-ZGTUY,Female,No,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,Yes,22,0,61,,Adelanto,California,92301,3,4221,Long distance charges
2957-LOLHO,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes,49,0,12,,Fallbrook,California,92028,3,2887,Competitor made better offer
7752-XUSCI,Female,No,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,20,0,60,,Crestline,California,92325,2,4105,Don't know
4110-PFEUZ,Female,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,Yes,54,0,1,Offer E,Daggett,California,92327,1,2792,Competitor had better devices
0256-LTHVJ,Female,No,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,Yes,58,0,28,Offer C,Ludlow,California,92338,1,5201,Competitor had better devices
0880-TKATG,Male,No,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,Yes,21,0,4,Offer E,Lucerne Valley,California,92356,1,4417,Competitor had better devices
3811-VBYBZ,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,61,0,7,,Lytle Creek,California,92358,1,2031,Competitor had better devices
4640-UHDOS,Female,No,Yes,No,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,Yes,60,0,13,Offer D,Phelan,California,92371,1,4498,Competitor had better devices
3583-EKAPL,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,Yes,25,0,1,,Redlands,California,92373,1,4877,Competitor had better devices
9399-APLBT,Female,No,Yes,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,52,0,1,,Rialto,California,92377,1,5980,Competitor had better devices
2359-KMGLI,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,52,0,24,Offer C,Running Springs,California,92382,1,4418,Competitor had better devices
0306-JAELE,Male,No,No,No,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,61,0,5,,Fallbrook,California,92028,1,4192,Competitor made better offer
6227-HWPWX,Female,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),Yes,40,0,15,Offer D,Victorville,California,92392,1,5671,Competitor had better devices
0447-BEMNG,Female,No,Yes,No,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,28,0,48,,Wrightwood,California,92397,1,4926,Price too high
5949-XIKAE,Female,No,Yes,No,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,32,0,8,,San Bernardino,California,92401,1,2879,Product dissatisfaction
8372-JUXUI,Male,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,32,0,1,,San Bernardino,California,92410,1,2814,Competitor had better devices
0388-EOPEX,Female,No,Yes,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,28,0,2,,Riverside,California,92503,1,4263,Attitude of support person
8205-OTCHB,Male,No,No,No,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),Yes,51,0,22,Offer D,Riverside,California,92506,3,3099,Network reliability
6235-VDHOM,Female,Yes,No,No,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,Yes,77,0,5,Offer E,Riverside,California,92509,2,4099,Limited range of services
7783-YKGDV,Female,No,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,49,0,12,Offer D,March Air Reserve Base,California,92518,1,2538,Lack of affordable download/upload speed
5609-CEBID,Female,Yes,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,Yes,77,0,20,,Hemet,California,92544,1,2666,Competitor had better devices
7218-HKQFK,Male,No,Yes,No,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,49,0,2,,Homeland,California,92548,2,3715,Don't know
4636-QRJKY,Female,No,Yes,No,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,Yes,64,0,6,,Idyllwild,California,92549,3,5032,Price too high
