Gender,SeniorCitizen,Partner,Dependents,Phone Service,Multiple Lines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,ChurnLabel,Age,NumDependents,TenureMonths,Offer,City,State,Zip Code,SatisfactionScore,CLTV,Churn Reason
Male,0,1,0,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),1,26,0,4,Offer E,San Diego,California,92122,3,4939,Competitor made better offer
Female,1,0,0,0,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,1,Electronic check,1,77,0,21,,San Diego,California,92122,1,4778,Competitor made better offer
Female,0,0,0,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),1,40,0,10,,San Diego,California,92122,3,3598,Competitor made better offer
Male,1,1,0,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Credit card (automatic),1,71,0,27,,San Diego,California,92122,1,2927,Competitor made better offer
Male,0,0,0,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Bank transfer (automatic),1,54,0,5,Offer E,San Diego,California,92122,3,5383,Competitor made better offer
Male,0,0,0,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,1,22,0,2,Offer E,San Diego,California,92122,1,3878,Competitor made better offer
Female,0,1,0,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),1,48,0,25,Offer C,San Diego,California,92122,3,3642,Competitor made better offer
Male,0,0,0,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,1,26,0,1,Offer E,San Diego,California,92122,1,2431,Competitor made better offer
Male,0,0,0,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Credit card (automatic),1,64,0,1,Offer E,San Diego,California,92122,3,3424,Competitor made better offer
Male,1,1,0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,1,79,0,11,,San Diego,California,92122,1,5888,Competitor made better offer
Female,1,1,0,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,1,66,0,55,Offer B,San Diego,California,92122,1,5502,Competitor made better offer
Female,0,0,0,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),1,63,0,34,Offer C,San Diego,California,92122,3,5795,Competitor made better offer
Male,0,1,0,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),1,30,0,69,Offer A,San Diego,California,92122,3,4020,Competitor made better offer
Female,0,0,0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,1,59,0,1,Offer E,San Diego,California,92122,3,3351,Competitor made better offer
Male,0,0,0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,1,52,0,1,Offer E,San Diego,California,92122,1,3448,Competitor made better offer
Male,1,0,0,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,1,77,0,3,Offer E,San Diego,California,92122,1,2818,Competitor made better offer
Female,0,1,0,1,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Electronic check,1,23,0,22,,Seeley,California,92273,1,3804,Competitor had better devices
Female,1,0,0,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),1,80,0,1,Offer E,Thermal,California,92274,2,4902,Network reliability
Female,0,1,0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,1,22,0,61,,Adelanto,California,92301,3,4221,Long distance charges
Male,0,0,0,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),1,49,0,12,,Fallbrook,California,92028,3,2887,Competitor made better offer
Female,0,0,0,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,1,20,0,60,,Crestline,California,92325,2,4105,Don't know
Female,0,0,0,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,1,54,0,1,Offer E,Daggett,California,92327,1,2792,Competitor had better devices
Female,0,1,0,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,1,58,0,28,Offer C,Ludlow,California,92338,1,5201,Competitor had better devices
Male,0,1,0,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,1,21,0,4,Offer E,Lucerne Valley,California,92356,1,4417,Competitor had better devices
Male,0,0,0,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,1,61,0,7,,Lytle Creek,California,92358,1,2031,Competitor had better devices
Female,0,1,0,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,1,60,0,13,Offer D,Phelan,California,92371,1,4498,Competitor had better devices
Male,0,0,0,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,1,25,0,1,,Redlands,California,92373,1,4877,Competitor had better devices
Female,0,1,0,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,1,52,0,1,,Rialto,California,92377,1,5980,Competitor had better devices
Male,0,0,0,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,1,52,0,24,Offer C,Running Springs,California,92382,1,4418,Competitor had better devices
Male,0,0,0,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,1,61,0,5,,Fallbrook,California,92028,1,4192,Competitor made better offer
Female,0,0,0,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),1,40,0,15,Offer D,Victorville,California,92392,1,5671,Competitor had better devices
Female,0,1,0,0,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),1,28,0,48,,Wrightwood,California,92397,1,4926,Price too high
Female,0,1,0,1,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,1,32,0,8,,San Bernardino,California,92401,1,2879,Product dissatisfaction
Male,0,0,0,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,1,32,0,1,,San Bernardino,California,92410,1,2814,Competitor had better devices
Female,0,1,0,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,1,28,0,2,,Riverside,California,92503,1,4263,Attitude of support person
Male,0,0,0,0,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,1,Bank transfer (automatic),1,51,0,22,Offer D,Riverside,California,92506,3,3099,Network reliability
Female,1,0,0,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,1,77,0,5,Offer E,Riverside,California,92509,2,4099,Limited range of services
Female,0,0,0,1,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),1,49,0,12,Offer D,March Air Reserve Base,California,92518,1,2538,Lack of affordable download/upload speed
Female,1,0,0,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,1,77,0,20,,Hemet,California,92544,1,2666,Competitor had better devices
Male,0,1,0,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,1,49,0,2,,Homeland,California,92548,2,3715,Don't know
Female,0,1,0,1,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,1,64,0,6,,Idyllwild,California,92549,3,5032,Price too high
Female,1,1,0,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,1,72,0,5,Offer E,Moreno Valley,California,92557,1,5273,Product dissatisfaction
Male,0,0,0,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,0,Bank transfer (automatic),1,55,0,40,,Murrieta,California,92563,1,3492,Competitor had better devices
Female,1,1,0,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),1,80,0,27,,Perris,California,92571,1,4517,Attitude of support person
Female,0,0,0,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),1,47,0,23,Offer D,Sun City,California,92586,1,2115,Network reliability
Male,0,1,0,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,1,22,0,34,Offer C,Sun City,California,92587,3,2568,Poor expertise of online support
Female,0,0,0,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,1,51,0,1,Offer E,Irvine,California,92612,3,5679,Don't know
Male,0,0,0,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),1,33,0,10,Offer D,Lake Forest,California,92630,3,2966,Don't know
Male,0,0,0,0,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),1,52,0,13,Offer D,Huntington Beach,California,92646,3,4856,Poor expertise of online support
Male,0,1,0,1,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Mailed check,1,29,0,39,Offer C,Huntington Beach,California,92648,1,3364,Competitor had better devices
Male,0,0,0,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),1,31,0,32,Offer C,Newport Beach,California,92661,1,5974,Competitor had better devices
Female,0,0,0,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,1,44,0,35,Offer C,Santa Ana,California,92701,3,2744,Competitor offered higher download speeds
Male,0,1,0,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,0,Credit card (automatic),1,50,0,56,,Santa Ana,California,92707,2,5170,Competitor offered more data
Female,0,1,0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,1,48,0,12,Offer D,Anaheim,California,92805,1,3535,Competitor made better offer
Female,0,0,0,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,1,28,0,1,,Anaheim,California,92806,1,3244,Competitor had better devices
Female,1,0,0,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,1,74,0,4,,Anaheim,California,92807,1,5808,Competitor had better devices
Female,1,0,0,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,1,68,0,1,,Brea,California,92823,1,4880,Competitor had better devices
Female,0,0,0,1,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,1,Mailed check,1,52,0,12,Offer D,Norco,California,92860,1,5670,Competitor offered higher download speeds
Female,1,1,0,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,0,Bank transfer (automatic),1,78,0,65,Offer B,Yorba Linda,California,92887,1,4196,Attitude of support person
Male,0,1,0,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,1,32,0,9,Offer E,Ventura,California,93001,2,2573,Competitor offered more data
Female,0,1,0,1,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,0,Mailed check,1,20,0,9,Offer E,Ventura,California,93003,1,3983,Competitor offered more data
Female,0,0,0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),1,27,0,7,Offer E,Port Hueneme,California,93041,3,4479,Attitude of support person
Male,1,1,0,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Credit card (automatic),1,75,0,49,Offer B,Summerland,California,93067,2,5059,Competitor made better offer
Male,1,1,0,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),1,77,0,43,Offer B,Santa Barbara,California,93101,2,2728,Competitor made better offer
